BHK,Size,Bathroom,Rent,Current Floor,Total Floors,Area Type_Super Area,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family
3,2370,2,15086,3.0,8.0,1,1,0,0,0,1,0,1,0
4,2110,3,45544,0.0,17.0,0,0,0,1,0,0,0,0,1
1,2446,2,23955,8.0,9.0,1,0,0,0,0,0,1,0,1
3,1302,1,52660,3.0,13.0,0,0,0,1,0,1,0,0,1
3,764,1,78736,1.0,13.0,1,0,0,1,0,1,0,0,1
4,562,3,76168,8.0,6.0,1,0,1,0,0,0,1,0,1
1,2958,3,39630,0.0,5.0,0,0,1,0,0,1,0,1,0
1,2263,2,55385,2.0,4.0,1,0,1,0,0,1,0,0,0
3,515,2,9711,0.0,14.0,1,0,1,0,0,1,0,0,0
2,2784,1,35871,8.0,4.0,0,0,1,0,0,0,0,1,0
3,1280,2,7457,1.0,14.0,0,0,0,1,0,0,0,1,0
3,1239,1,44467,8.0,4.0,1,0,0,0,0,1,0,1,0
3,2594,3,18167,8.0,10.0,0,0,1,0,0,0,1,0,1
3,1746,2,78995,2.0,7.0,0,0,0,0,0,0,1,0,1
4,2890,3,12157,9.0,13.0,1,0,0,0,0,1,0,0,1
1,1436,2,7714,3.0,18.0,0,0,0,0,1,0,0,1,0
4,1342,1,32217,8.0,4.0,1,0,0,0,1,0,0,1,0
4,2124,3,45132,7.0,14.0,0,1,0,0,0,1,0,0,0
4,2734,3,61371,1.0,8.0,1,0,0,0,1,0,0,1,0
3,1537,2,61788,9.0,5.0,1,0,1,0,0,0,0,0,1
2,2927,3,14583,6.0,7.0,1,0,0,0,0,0,1,0,0
1,421,1,47042,8.0,3.0,0,1,0,0,0,1,0,1,0
2,2149,3,73371,9.0,4.0,1,0,0,0,1,0,0,0,0
4,1082,3,13013,9.0,4.0,0,0,0,1,0,0,0,0,0
4,2233,2,34540,9.0,16.0,1,1,0,0,0,0,0,1,0
2,2767,3,41973,2.0,19.0,1,0,1,0,0,1,0,0,1
2,525,2,72690,1.0,12.0,1,0,0,0,0,1,0,0,1
2,676,2,74459,8.0,16.0,0,0,1,0,0,0,0,0,0
4,2399,3,36558,0.0,16.0,1,0,1,0,0,0,1,1,0
4,1627,1,45030,1.0,15.0,1,0,0,1,0,0,1,1,0
1,2641,2,41636,6.0,1.0,0,0,0,1,0,1,0,0,1
1,1095,3,74326,4.0,10.0,1,0,0,0,0,0,1,1,0
4,1709,2,64051,5.0,4.0,1,0,0,0,1,0,0,1,0
2,456,1,68566,0.0,16.0,0,0,1,0,0,1,0,0,0
2,418,1,56159,6.0,9.0,0,0,0,0,1,1,0,1,0
1,2711,2,71809,5.0,16.0,0,0,0,0,0,0,1,1,0
4,512,1,61025,2.0,15.0,1,0,1,0,0,1,0,1,0
1,941,3,31680,9.0,14.0,0,0,0,0,1,0,1,0,1
1,978,3,17434,3.0,10.0,1,0,1,0,0,0,1,0,1
3,1488,2,67185,4.0,12.0,1,0,0,1,0,0,0,0,0
3,424,1,51096,0.0,17.0,0,0,0,1,0,0,1,0,1
3,1972,3,52471,8.0,19.0,0,1,0,0,0,0,1,0,1
2,2448,3,61004,8.0,18.0,1,0,0,0,0,1,0,0,1
4,1972,3,79940,6.0,9.0,0,0,0,0,1,0,0,0,1
4,540,2,45579,5.0,12.0,0,0,1,0,0,0,0,0,0
4,2167,2,15487,6.0,14.0,1,1,0,0,0,0,1,1,0
4,1047,3,65628,5.0,14.0,0,0,0,0,0,1,0,1,0
3,2635,3,53133,1.0,8.0,0,0,0,0,0,1,0,1,0
2,600,1,14610,6.0,6.0,0,0,0,0,0,1,0,0,0
2,656,1,58551,4.0,5.0,1,0,0,0,1,0,0,0,1
3,946,1,18869,8.0,1.0,0,0,0,1,0,0,0,0,0
2,2641,2,53954,8.0,6.0,0,1,0,0,0,0,1,0,0
3,1201,3,79107,3.0,7.0,1,0,0,0,1,0,1,0,0
4,1341,2,27979,8.0,5.0,1,0,1,0,0,1,0,1,0
3,813,3,16492,4.0,8.0,1,0,0,0,1,0,1,0,1
4,2414,1,65920,6.0,13.0,1,0,1,0,0,1,0,1,0
4,1781,1,28409,7.0,11.0,0,0,1,0,0,0,0,0,0
1,1498,1,70162,9.0,18.0,1,0,0,0,0,0,1,0,0
3,1309,1,77569,8.0,19.0,1,0,0,0,1,1,0,1,0
1,587,3,29077,5.0,2.0,0,0,0,1,0,0,0,1,0
3,2415,1,65428,6.0,11.0,1,0,1,0,0,1,0,1,0
3,1713,3,31455,0.0,2.0,1,0,0,0,0,0,1,0,1
1,2492,3,32385,0.0,8.0,0,0,0,1,0,1,0,1,0
1,2530,2,5847,1.0,6.0,1,0,0,0,1,0,0,0,1
3,1546,1,58213,5.0,5.0,1,0,0,1,0,0,1,0,1
2,757,1,14704,7.0,19.0,0,0,0,0,1,0,0,1,0
4,1951,2,49862,9.0,7.0,0,0,1,0,0,0,1,0,0
1,1489,3,36849,6.0,16.0,0,1,0,0,0,1,0,0,0
4,2080,1,76868,7.0,18.0,0,1,0,0,0,0,0,0,1
2,2822,3,10648,1.0,16.0,0,0,1,0,0,0,0,0,1
2,561,2,36793,3.0,16.0,0,0,0,1,0,1,0,0,1
2,2769,3,8450,9.0,9.0,0,0,0,0,1,0,0,0,0
1,849,1,13418,9.0,9.0,0,1,0,0,0,0,0,0,1
2,1897,3,53718,3.0,9.0,0,0,0,0,1,0,0,0,1
1,1436,3,39575,2.0,12.0,0,0,1,0,0,0,0,0,0
2,2631,1,38186,4.0,6.0,0,0,0,1,0,1,0,1,0
4,2558,1,31451,2.0,16.0,0,0,0,0,1,0,0,0,0
4,2350,3,8155,3.0,17.0,1,0,0,1,0,0,0,1,0
3,2955,3,14110,5.0,8.0,0,1,0,0,0,0,0,1,0
4,1713,2,34448,2.0,2.0,0,0,0,0,1,0,1,0,1
3,2742,1,50231,5.0,12.0,0,0,0,0,0,0,1,0,1
4,1638,3,40399,0.0,15.0,0,1,0,0,0,1,0,1,0
1,1373,1,25058,1.0,16.0,0,0,0,1,0,1,0,0,1
4,1031,2,75166,4.0,17.0,1,0,1,0,0,1,0,1,0
3,1990,3,77404,7.0,1.0,1,0,0,0,0,0,0,0,1
3,1450,3,53698,8.0,3.0,1,0,0,0,1,0,1,0,0
2,1988,3,50379,1.0,15.0,1,1,0,0,0,0,1,1,0
1,2768,1,8812,0.0,9.0,0,0,0,0,1,1,0,1,0
4,2093,2,22270,3.0,12.0,1,0,0,0,1,0,1,0,1
2,836,1,28978,0.0,1.0,1,0,0,0,0,1,0,0,0
4,1956,3,16531,6.0,18.0,0,0,0,0,0,0,0,0,1
4,1476,2,33783,6.0,15.0,1,0,0,0,0,0,1,0,0
2,1704,3,65019,9.0,13.0,1,0,0,0,0,0,0,0,1
2,2478,3,18236,6.0,16.0,0,0,1,0,0,0,0,1,0
2,2784,1,35093,0.0,12.0,0,0,0,1,0,0,1,0,0
2,582,3,74683,7.0,13.0,1,0,0,0,0,1,0,0,0
2,2991,2,23515,7.0,15.0,0,1,0,0,0,0,1,0,1
4,1869,3,7759,7.0,4.0,1,0,0,0,1,0,0,0,0
2,1879,3,30316,5.0,2.0,0,0,0,0,0,1,0,0,1
1,1989,1,73412,1.0,2.0,1,1,0,0,0,0,0,0,0
3,1987,2,50480,8.0,15.0,1,0,1,0,0,1,0,0,1
2,1059,1,18332,9.0,19.0,1,1,0,0,0,0,1,0,1
2,559,3,54207,9.0,10.0,0,1,0,0,0,0,0,0,1
4,2859,1,48819,7.0,11.0,0,0,1,0,0,1,0,1,0
2,1411,1,63150,9.0,10.0,1,0,1,0,0,1,0,0,0
2,452,1,58902,6.0,5.0,0,0,0,0,1,0,1,1,0
2,2855,1,14198,8.0,19.0,0,0,0,0,0,1,0,1,0
4,1445,3,20732,1.0,17.0,1,1,0,0,0,1,0,1,0
2,1453,3,60419,5.0,10.0,0,0,0,1,0,0,0,1,0
3,2707,2,6781,1.0,6.0,0,0,0,1,0,0,1,0,0
4,1628,1,55141,4.0,13.0,1,0,0,0,1,0,1,0,0
3,1894,1,66277,1.0,7.0,1,0,0,1,0,0,0,1,0
4,1889,2,61704,1.0,14.0,0,0,0,0,1,0,0,0,0
2,1435,1,36485,4.0,18.0,0,0,0,0,0,0,0,0,0
3,2350,2,59351,9.0,11.0,0,0,0,0,1,1,0,0,1
